controller,sim_time_s,x_m,y_m,goal_distance_m,selection,executed_v_mps,executed_w_radps
ppo_only,0.2166666666666659,-0.2800028622150421,-3.0000717639923096,3.8500717639933737,ppo_only,0.065,0.13845510482788087
ppo_only,0.4333333333333318,-0.28014346957206726,-2.9881978034973145,3.8381978061787185,ppo_only,0.065,0.37042691707611086
ppo_only,0.6499999999999977,-0.2808212339878082,-2.975487470626831,3.825487558775761,ppo_only,0.065,0.55
ppo_only,0.8666666666666636,-0.28248271346092224,-2.9628052711486816,3.8128060794597594,ppo_only,0.065,0.55
ppo_only,1.0833333333333295,-0.2852663993835449,-2.95066499710083,3.800668645797726,ppo_only,0.065,0.55
ppo_only,1.2999999999999954,-0.2892979383468628,-2.938544511795044,3.7885559213914015,ppo_only,0.065,0.49001512527465824
ppo_only,1.5166666666666613,-0.29434919357299805,-2.9269843101501465,3.777011567162136,ppo_only,0.065,0.55
ppo_only,1.7333333333333272,-0.3003302216529846,-2.916046619415283,3.7661014932582133,ppo_only,0.065,0.5317338943481446
ppo_only,1.949999999999993,-0.30744504928588867,-2.905461072921753,3.7555613563035966,ppo_only,0.065,0.3796184778213501
ppo_only,2.166666666666659,-0.3152395486831665,-2.895557403564453,3.7457231730585594,ppo_only,0.065,0.19045393466949465
ppo_only,2.383333333333325,-0.3235796093940735,-2.885861396789551,3.7361155708004152,ppo_only,0.065,-0.1581122636795044
ppo_only,2.599999999999991,-0.3317258954048157,-2.876356840133667,3.726715828751422,ppo_only,0.065,-0.55
ppo_only,2.816666666666657,-0.33942463994026184,-2.8662002086639404,3.716675299068503,ppo_only,0.065,-0.55
ppo_only,3.033333333333323,-0.3461901843547821,-2.8553178310394287,3.7059089801995486,ppo_only,0.065,-0.55
ppo_only,3.249999999999989,-0.3519513010978699,-2.84381365776062,3.69451435617573,ppo_only,0.065,-0.55
ppo_only,3.466666666666655,-0.3565032184123993,-2.8320047855377197,3.6827994763698615,ppo_only,0.065,-0.55
ppo_only,3.6833333333333207,-0.36001119017601013,-2.819622278213501,3.6704944428937947,ppo_only,0.065,-0.55
ppo_only,3.8999999999999866,-0.36240026354789734,-2.8068294525146484,3.657757707696253,ppo_only,0.065,-0.55
ppo_only,4.116666666666653,-0.3636360466480255,-2.7938525676727295,3.644812275444931,ppo_only,0.065,-0.55
ppo_only,4.333333333333318,-0.36365392804145813,-2.780942916870117,3.6319064477552336,ppo_only,0.065,-0.55
ppo_only,4.549999999999985,-0.3625040650367737,-2.768244981765747,3.619185497984402,ppo_only,0.065,-0.55
ppo_only,4.76666666666665,-0.3601566255092621,-2.7557687759399414,3.606659611074554,ppo_only,0.065,-0.55
ppo_only,4.9833333333333165,-0.35663971304893494,-2.743537664413452,3.5943548226593203,ppo_only,0.065,-0.5420956611633301
ppo_only,5.1999999999999815,-0.3519909679889679,-2.7316672801971436,3.5823907108950013,ppo_only,0.065,-0.55
ppo_only,5.416666666666648,-0.34624406695365906,-2.720252275466919,3.57086678369318,ppo_only,0.065,-0.55
ppo_only,5.633333333333313,-0.3394961655139923,-2.7095484733581543,3.5600456637376485,ppo_only,0.065,-0.4490449905395508
ppo_only,5.84999999999998,-0.33186233043670654,-2.6994619369506836,3.5498408053291666,ppo_only,0.065,-0.2968469142913818
ppo_only,6.066666666666645,-0.32365500926971436,-2.6898810863494873,3.540150260275567,ppo_only,0.065,-0.06735110282897949
ppo_only,6.283333333333312,-0.31511756777763367,-2.680427074432373,3.5306017293730174,ppo_only,0.065,0.37116858959198
ppo_only,6.499999999999977,-0.3068862557411194,-2.6707756519317627,3.52087830831787,ppo_only,0.065,0.55
ppo_only,6.699999999999987,-0.29991114139556885,-2.6612727642059326,3.511329218146035,ppo_only,0.065,0.55
ppo_only,6.899999999999997,-0.29367125034332275,-2.6510744094848633,3.5011011016301334,ppo_only,0.065,0.55
ppo_only,7.100000000000007,-0.28847768902778625,-2.6406712532043457,3.4906815479442477,ppo_only,0.065,0.55
ppo_only,7.300000000000017,-0.28402188420295715,-2.6294474601745605,3.4794497846164902,ppo_only,0.065,0.55
ppo_only,7.500000000000027,-0.28072208166122437,-2.6183207035064697,3.468320778672806,ppo_only,0.065,0.55
ppo_only,7.700000000000037,-0.2783651649951935,-2.6068902015686035,3.4568905881422562,ppo_only,0.065,0.55
ppo_only,7.9000000000000465,-0.2769872844219208,-2.5951004028320312,3.445101720130855,ppo_only,0.065,0.55
ppo_only,8.100000000000056,-0.27664661407470703,-2.5835845470428467,3.4335861845727123,ppo_only,0.065,0.55
ppo_only,8.300000000000066,-0.2773226201534271,-2.5719237327575684,3.4219247801745047,ppo_only,0.065,0.55
ppo_only,8.500000000000076,-0.27896848320961,-2.560624599456787,3.410624755443885,ppo_only,0.065,0.55
ppo_only,8.700000000000086,-0.2816484272480011,-2.5492541790008545,3.3992545786932706,ppo_only,0.065,0.55
ppo_only,8.900000000000096,-0.2852776050567627,-2.5383780002593994,3.388382110352524,ppo_only,0.065,0.55
ppo_only,9.100000000000106,-0.28999581933021545,-2.527463912963867,3.3774787045631065,ppo_only,0.065,0.55
ppo_only,9.300000000000116,-0.2956099510192871,-2.5169897079467773,3.3670258929788988,ppo_only,0.065,0.55
ppo_only,9.500000000000126,-0.3019331395626068,-2.5073747634887695,3.357446405398356,ppo_only,0.065,0.55
ppo_only,9.700000000000136,-0.30913910269737244,-2.498213768005371,3.3483405626618588,ppo_only,0.065,0.3784639596939087
ppo_only,9.900000000000146,-0.3170957565307617,-2.4894485473632812,3.339654577293784,ppo_only,0.065,0.21217474937438965
ppo_only,10.100000000000156,-0.3252200782299042,-2.4812092781066895,3.3315161878669013,ppo_only,0.065,-0.06424098014831543
isaac_only,0.2666666666666657,-0.2799828350543976,-3.0000741481781006,3.8500741482163643,isaac_only,0.05491034901183251,0.55
isaac_only,0.2833333333333323,-0.27998319268226624,-2.999764919281006,3.8497649193176944,isaac_only,0.05501516214392111,0.55
isaac_only,0.4999999999999982,-0.2805555760860443,-2.9891862869262695,3.8391863271255153,isaac_only,0.05698390436748981,0.55
isaac_only,0.6999999999999975,-0.28200429677963257,-2.9790220260620117,3.8290225506352944,isaac_only,0.05780029890949825,0.55
isaac_only,0.8999999999999968,-0.28433966636657715,-2.9689881801605225,3.8189906458264535,isaac_only,0.0595915050745661,0.55
isaac_only,1.099999999999996,-0.28763315081596375,-2.9588499069213867,3.8088575555468647,isaac_only,0.06078433743281466,0.55
isaac_only,1.2999999999999954,-0.2918582260608673,-2.948807954788208,3.7988264628550064,isaac_only,0.062182297703492824,0.55
isaac_only,1.4999999999999947,-0.29715797305107117,-2.9386610984802246,3.7886999505340357,isaac_only,0.06332439109409468,0.4551054586595497
isaac_only,1.699999999999994,-0.3031826913356781,-2.928957939147949,3.7790290476558765,isaac_only,0.0647815551320772,0.16401400763839635
isaac_only,1.8999999999999932,-0.30980440974235535,-2.9193344116210938,3.769452242630357,isaac_only,0.06487557957092162,0.1237666005878066
isaac_only,2.0999999999999925,-0.3166225850582123,-2.909815788269043,3.7599941456674517,isaac_only,0.06485479992431357,0.13370652917512882
isaac_only,2.299999999999992,-0.3236434757709503,-2.900371551513672,3.75062548481989,isaac_only,0.06491276674254015,0.10362819714065961
isaac_only,2.499999999999991,-0.3308243751525879,-2.8910341262817383,3.741379351404268,isaac_only,0.06494745850611153,0.08042087283456231
isaac_only,2.699999999999991,-0.3381241261959076,-2.8817830085754395,3.7322356352645256,isaac_only,0.06491015578207336,-0.10516795238825268
isaac_only,2.89999999999999,-0.3453511595726013,-2.8725574016571045,3.7231309918789557,isaac_only,0.06494221029953726,-0.0843423541360445
isaac_only,3.0999999999999894,-0.35243576765060425,-2.8632824420928955,3.713988884634755,isaac_only,0.06496363953958478,-0.06689955812443368
isaac_only,3.2999999999999887,-0.3594561517238617,-2.8539040088653564,3.7047561575541814,isaac_only,0.06499925778120147,0.009557728800518377
isaac_only,3.499999999999988,-0.36643874645233154,-2.8445193767547607,3.6955304195885925,isaac_only,0.06499948373898351,0.007971191976470933
isaac_only,3.6999999999999873,-0.3734055459499359,-2.8351848125457764,3.686368361766395,isaac_only,0.06497619486618504,0.05412985752946159
isaac_only,3.8999999999999866,-0.38045448064804077,-2.8258414268493652,3.6772137955283815,isaac_only,0.06498591131704659,0.041641978722032326
isaac_only,4.099999999999985,-0.38758614659309387,-2.816514492034912,3.668092596873855,isaac_only,0.06499134509080925,0.03263806417330503
isaac_only,4.299999999999985,-0.3947608470916748,-2.8072264194488525,3.6590265283460126,isaac_only,0.06484127212918438,-0.13979876275159725
isaac_only,4.499999999999984,-0.40184295177459717,-2.797889471054077,3.6499237386450067,isaac_only,0.0649000319924789,-0.11093651276984803
isaac_only,4.699999999999983,-0.4087497591972351,-2.7884702682495117,3.640747504761765,isaac_only,0.06493587051650938,-0.08884907262931813
isaac_only,4.899999999999983,-0.4155833423137665,-2.7788913249969482,3.6314232872733356,isaac_only,0.06499970239507573,0.006052134030461821
isaac_only,5.099999999999982,-0.4223319888114929,-2.769346237182617,3.6221437822989584,isaac_only,0.06499984520590185,0.004364812581647129
isaac_only,5.299999999999981,-0.4291025996208191,-2.759791135787964,3.612869168573233,isaac_only,0.06481075429327601,-0.15265349750691687
isaac_only,5.4999999999999805,-0.4357640743255615,-2.75016713142395,3.6035351838210006,isaac_only,0.06488199757865745,-0.12053120510945665
isaac_only,5.69999999999998,-0.4422313868999481,-2.740440845489502,3.594104128688379,isaac_only,0.06492623913833562,-0.09528891536781225
isaac_only,5.899999999999979,-0.4485766589641571,-2.7305991649627686,3.5845653111750653,isaac_only,0.0649967428295981,0.02002213422956052
isaac_only,6.099999999999978,-0.4548795521259308,-2.720750331878662,3.5750301803430053,isaac_only,0.06499814259756898,0.015119671453908003
isaac_only,6.299999999999978,-0.4612206518650055,-2.710901975631714,3.565510314768451,isaac_only,0.06484557721034881,-0.13788912961132457
isaac_only,6.499999999999977,-0.46744948625564575,-2.7010273933410645,3.555971436633897,isaac_only,0.06490095438040547,-0.11042339983670324
isaac_only,6.699999999999987,-0.4735075831413269,-2.6910781860351562,3.546361502208599,isaac_only,0.06493696890440447,-0.08808477399373978
isaac_only,6.899999999999997,-0.4794544577598572,-2.6810238361358643,3.536652571582331,isaac_only,0.06498669878414046,0.04046144532395095
isaac_only,7.100000000000007,-0.4854097366333008,-2.670912265777588,3.526898969804328,isaac_only,0.0649917704577222,0.03182590321580759
isaac_only,7.300000000000017,-0.49141600728034973,-2.6608328819274902,3.517192666453979,isaac_only,0.06488276011826134,-0.12014101600365344
isaac_only,7.500000000000027,-0.4973334074020386,-2.650754690170288,3.507494434881152,isaac_only,0.0649236583120015,-0.09694194069383003
isaac_only,7.700000000000037,-0.5031171441078186,-2.6405699253082275,3.497693477630811,isaac_only,0.06495161447700891,-0.07717434978769414
isaac_only,7.9000000000000465,-0.5087717175483704,-2.6303460597991943,3.4878568196974213,isaac_only,0.06497088947041219,0.05985901664789066
isaac_only,8.100000000000056,-0.5144616961479187,-2.6200613975524902,3.477973316422152,isaac_only,0.0649815390069788,0.04766791141894758
isaac_only,8.300000000000066,-0.5202189683914185,-2.6098337173461914,3.468162987009204,isaac_only,0.06491055466771214,-0.10493417942138643
isaac_only,8.500000000000076,-0.5259090065956116,-2.5996127128601074,3.458366537579687,isaac_only,0.06494217027848104,-0.08437155818433376
isaac_only,8.700000000000086,-0.5314734578132629,-2.5893099308013916,3.448491220823047,isaac_only,0.0649628370643671,-0.06763383533148713
isaac_only,8.900000000000096,-0.536937952041626,-2.5789546966552734,3.438567641171772,isaac_only,0.06495356045150968,0.07560633214742546
isaac_only,9.100000000000106,-0.5424320697784424,-2.568585157394409,3.4286433278493047,isaac_only,0.06497004735929374,0.06071871226059795
isaac_only,9.300000000000116,-0.548027753829956,-2.5582566261291504,3.418779329874391,isaac_only,0.06492784622683256,-0.0942449353980725
isaac_only,9.500000000000126,-0.5535622239112854,-2.5479533672332764,3.4089475467133914,isaac_only,0.06495299244519352,-0.07606735624373036
isaac_only,9.700000000000136,-0.5589891672134399,-2.5375733375549316,3.399042228736723,isaac_only,0.06497025223435154,-0.060510683075186145
isaac_only,9.900000000000146,-0.5643350481987,-2.527122974395752,3.3890715548400228,isaac_only,0.06473504226940088,-0.18064429414678831
isaac_only,10.100000000000156,-0.5694770812988281,-2.516627550125122,3.3790498726504126,isaac_only,0.064829208372252,-0.14501627473967973
isaac_only,10.300000000000166,-0.5744139552116394,-2.5059821605682373,3.3688715972971743,isaac_only,0.06458421282690965,-0.2263370421325056
isaac_only,10.500000000000176,-0.5790435075759888,-2.4952809810638428,3.3586205295762155,isaac_only,0.0647385971993976,-0.17942753326947464
isaac_only,10.700000000000186,-0.5833829045295715,-2.48445987701416,3.3482329456264073,isaac_only,0.06456016035923581,-0.232798780410937
isaac_only,10.900000000000196,-0.5873855352401733,-2.4735710620880127,3.337755304396014,isaac_only,0.06472472266572903,-0.18413100873497534
isaac_only,11.100000000000206,-0.5910963416099548,-2.462553024291992,3.3271291637850675,isaac_only,0.06482652020496081,-0.14615356193452114
isaac_only,11.300000000000216,-0.5945722460746765,-2.4514384269714355,3.31639131965516,isaac_only,0.0646941688695113,-0.19408840467551314
isaac_only,11.500000000000226,-0.5977723598480225,-2.4403069019317627,3.3056162483844336,isaac_only,0.06481374804613403,-0.15144065913757337
isaac_only,11.700000000000236,-0.6007075905799866,-2.42903208732605,3.2946782526324863,isaac_only,0.06473365165392982,-0.18111804777069873
isaac_only,11.900000000000245,-0.6033870577812195,-2.4177424907684326,3.2837052509495845,isaac_only,0.06482959090647288,-0.14485371093334973
isaac_only,12.100000000000255,-0.6058177947998047,-2.4063987731933594,3.2726579725757206,isaac_only,0.06478400805772692,-0.16309003468297015
isaac_only,12.300000000000265,-0.6080374717712402,-2.3949668407440186,3.261505538921295,isaac_only,0.06485714807614425,-0.13262058285232994
isaac_only,12.500000000000275,-0.6100360751152039,-2.383486747741699,3.2502861964292684,isaac_only,0.06483676293229564,-0.14177140319072065
isaac_only,12.700000000000285,-0.6118259429931641,-2.3719589710235596,3.2390010909850737,isaac_only,0.0648963402078724,-0.11296690109485323
isaac_only,12.900000000000295,-0.6134063005447388,-2.360471248626709,3.22773688511032,isaac_only,0.06488889354773757,-0.11695528120076823
isaac_only,13.100000000000305,-0.614782989025116,-2.3492157459259033,3.216684790078261,isaac_only,0.0649271485542862,-0.09469956271790328
isaac_only,13.300000000000315,-0.6159998178482056,-2.338042736053467,3.2056999804250714,isaac_only,0.06495092410960211,-0.07772303263133255
isaac_only,13.500000000000325,-0.6170730590820312,-2.327162742614746,3.1949931674759764,isaac_only,0.06494228497367056,-0.08428783610771132
isaac_only,13.700000000000335,-0.6180751919746399,-2.3157765865325928,3.1837770385607476,isaac_only,0.06496197578411926,-0.06841315549942191
isaac_only,13.900000000000345,-0.6189830303192139,-2.3041586875915527,3.1723219447832944,isaac_only,0.06495889504700574,-0.07113089652330594
isaac_only,14.100000000000355,-0.6197927594184875,-2.2925119400024414,3.160829070419838,isaac_only,0.06497232334211417,-0.05836608309600252
isaac_only,14.300000000000365,-0.6205111742019653,-2.2807867527008057,3.1492496805815917,isaac_only,0.06497182432649311,-0.05888994617359988
isaac_only,14.500000000000373,-0.6211367249488831,-2.2691357135772705,3.1377351489286087,isaac_only,0.06498182627495945,-0.04729556425643344
isaac_only,14.700000000000362,-0.6216851472854614,-2.257436990737915,3.126165925104072,isaac_only,0.06498236816752813,-0.04658508135131734
isaac_only,14.90000000000035,-0.6221612095832825,-2.2457714080810547,3.114622754754683,isaac_only,0.06498816180320938,-0.03817136445654161
isaac_only,15.100000000000339,-0.6225800514221191,-2.2340714931488037,3.103040132915698,isaac_only,0.06498896785931757,-0.036848885203776376
isaac_only,15.300000000000328,-0.6229419112205505,-2.222388744354248,3.091469189706777,isaac_only,0.06499248580608123,-0.03041120987740231
